id,question,context_0,context_1,context_2,context_3,relevant,answer_text,answer_start
593f14f960d971e294af884f0194b3a7,舍本和誰的數據能推算出連星的恆星的質量？,2018,6952,8264,836,836,斯特魯維,108
acd5d763ec4c250f9a11eac1412d6814,在關西鎮以什麼方言為主？,1716,8318,4070,7571,8318,四縣腔客家話,306
5670000714a658c5e52658e22e6985f7,「有錫兵，天下爭。無錫寧，天下清。」指的是何人攻破蘭陵後，率軍駐無錫錫山時的上書?,6043,5950,2548,5806,5806,王翦,46
f71493751ccfce42aae7a99ed3f20dbb,《方法論》的作者是誰?,5443,6843,8584,4350,6843,阿基米德,63
56d547357d11a8938197072d82aa126c,環繞速度又為哪種速度的別稱?,1859,7590,3116,8989,7590,第一宇宙速度,69
df509863db14955352fd7c47e0dab571,橫濱市內大部分地區的方言是屬於哪一種方言?,2114,7497,7205,4342,2114,橫濱川崎方言,194
9b4518c395d7137ba2bd53b435c7c20e,托勒密是甚麼學家?,8220,5048,759,2764,759,天文學家,182
367072175806b2971c978e12b297e7b7,乘客等了多久巴士,5606,7551,501,2086,2086,四十五分鐘,183
afec06dd09314129d6fa43ba6cbdfe67,周太子誦於何年即位?,3883,8349,364,5323,364,西元前1042年,0
af82104e2c3121d4bc2f8209dd10772c,夏季的季風為什麼?,7497,2986,4853,6850,4853,西南季風,230
3833abd32c5066b0a8fd50d675078fbf,具有什麼特性的輻射可以把原子游離?,8989,7118,7464,4990,4990,擁有足夠高能量,197
5cedc658a73b18582eccdf0d487e7ac8,麻省理工學院自1929年持續獲得哪個單位的教育認可?,2117,1029,3210,74,74,新英格蘭學校與學院協會,50
57f93eb0578ad9ae5d5e4f9918a6d30d,哪一個於1961年與坦尚尼亞建交?,5390,6789,5485,6056,6789,美國,202
480c8d49733da2e819483451478ff102,華納公司在哪一年時獲得第一國家電影公司的完全控制權?,392,7021,5338,7497,7021,1929年,415
6e8c3300e198a14d348e1ae503c56fba,「三區革命」在哪一年爆發?,2146,7569,8741,5956,5956,民國三十三年,138
a6770ec0577fe09fffb6f629cb19857d,酋長球場的舊名稱為何?,8585,8582,3439,5397,3439,阿什伯頓,260
4d3e3ea2832b3a6ddcf0dd2ffede55fa,台灣棒球維基館是哪一個計劃的加值成果？,2146,3962,7778,6107,6107,台灣棒球運動珍貴新聞檔案數位資料館之建置,169
248579f48f6968674ad1117d1951260d,台灣在2013年得到國際鳥盟頒發的國際保育獎的原因為？,2146,829,7186,5646,5646,保育黑面琵鷺的成效,217
367fa515034bb4ff272bd3c0d8d4f9c5,哪一種鈉的製備方法會以鎳為陽極鐵為陰極來電解析出？,3860,324,1689,4159,324,卡斯納法,213
fd0d512b375ca4843e96885aa0397049,《自由微中子的探測：一個證實》刊登於哪一本雜誌?,8678,5203,2509,822,5203,《科學》,479
3d1ca17b7f23d9954be0fb5cf6b1f58e,為何奧運中舉辦的桌球與體操並不普及？,715,1152,8585,3106,715,商業化不強,129
eb6457e31e909d7f46ff93fe436e56b5,兩所大學的天文系相關科系，成立文理科的綜合大學，一所是齊魯大學，另一所是?,6682,8119,3437,5641,3437,中山大學,59
4ab019e8c88bb8fb7ef0353c9d8a2a35,托爾金在軍中的時間為什麼對艾迪絲而言是可怕的壓力?,7497,8937,8817,2527,8937,她害怕每一次敲門可能帶來丈夫死去的消息,290
5c2a00769b0b16cdc27873770a10e8f2,華夏民族早期主要活動範圍在哪裡,5189,4074,7800,1716,7800,焦作,115
69eba02b1a6fa0263aebb934c41362d5,部分民間藝人用花卉和禽鳥的圖案拼成的漢字為？,3564,5017,3511,6811,3564,花鳥字,335
2a3bd5af42078a674df44ad652fb4e8f,最早出現在奴隸制時期的階級有「奴隸主階級」以及?,7017,4055,2469,8398,8398,奴隸階級,276
2ef1a7805c069365fbaf1d286c9f6713,大約有幾成的心血管疾病是可以預防的?,5301,6952,2701,65,65,九成,297
466cd22b101e0c8fd63fc29a09d2931d,胡適與張愛玲相識是於什麼時後?,6654,2343,7571,6512,2343,旅美時,178
ebd3a81d5a425a47390585219c5a2fdb,底片所能感應的近紅外線波長為肉眼能看見的幾倍?,8912,5662,5043,5041,5043,兩倍,633
dd47bf4da3f0feb771a45b02f203d531,於「金剛計劃」中撤離至台灣的大陳居民是自何處上岸的?,6925,7286,8504,7571,7286,基隆港,298
fc10c7f16dd0c638dcf7ff636f2ed469,斯塔福德·卡爾德克特用哪一個角度分析魔戒的意義?,4963,6952,4564,5662,4564,神學角度,369
5ef6459fd0c72d74bff3cc7f1f6a93af,高句麗存在的歷史超過了幾百年？,1213,5464,3953,7671,3953,7,115
0acdeccda06eae03833f5878682fce78,哪個單位決定七期重劃區新市政中心的位置?,3687,2085,296,1716,296,行政院,107
6808ca114abd679665f359ced7b88098,1945年5月9日德國向哪一個國家投降，結束了德蘇戰爭?,1639,5119,5754,2759,1639,蘇聯,69
fcead269af2b185768c17a36816d5b3b,要花多久的時間才能抵達中環中心商業區,509,6131,958,1716,509,二十四分鐘,197
00a10a9cbf0ecc8771f94434642372c0,多明尼加人移民國外的第一階段是什麼組織造成的？,18,7423,3936,694,3936,美國情報局,47
98721870ff5629dda1c1a295be9588c6,英葡聯軍在哪一年攻打布爾戈斯?,3048,5464,4501,1292,4501,1813年,478
a0462bde4c442c2e1023b23a8ab07a6a,西夏的末代國王是誰?,2818,7992,2342,7610,7610,李睍,57
1a49433aa703f9a86fa03bc43a1ab6a3,「南至交州，經歷東甌、閩越之國，行徑萬里，不見漢地」指的是哪一地區?,7902,7497,1088,6043,1088,吳越之地,41
0708821b632917b1099bcd50c5f7b2e9,《大方廣圓覺修多羅了義經》是屬於哪一個宗教的經典?,1098,6043,5922,1140,1098,大乘佛教,20
3ddcf53a3cab6b3211a3e8264e2feccf,宋朝文學中什麼是說話的內容？,6924,908,6952,4362,6924,話本,314
58ffbd4744d849a7346ceb55a9ee69cd,卡梅拉塔同好社於義大利的哪裡的人所組成?,6811,130,6043,290,130,佛羅倫斯,95
432864b9d1a827f4123608e92ceca2a2,2004年的計畫後來演變成什麼計畫?,2095,1206,8861,1358,8861,獵戶座飛船計劃,1016
558e96aadd08cd3153bf7c5868c69c13,吐蕃、南詔聯軍在什麼時候攻打唐朝失敗？,5676,7497,6647,4924,6647,大曆十四年,71
27189f6fa140abad7c278e9fe49e9c17,日耳曼語族使用哪種語言,8317,1222,1146,7037,7037,意第緒語,0
5f8c65b498506d62b8651a6d16c67d37,桂苑筆耕集的作者是誰？,1169,6952,6420,4386,6420,崔致遠,301
6c4b5687e95ae0e332ee4c75ace11f5f,盈動在哪一年成為全港第七大上市公司?,4300,8183,8675,6795,6795,1999年,0
